Name,shape,year,Brand,Link,cost,sales,Colorway,color,category,size,default
Challenger Paddle,Elongated,,Friday,https://amzn.to/3MS3iHd,$,92.0,Haze,purple,paddle,16mm,
Challenger Paddle,Elongated,,Friday,https://amzn.to/4ck2O6Z,$,92.0,Ghostly,white,paddle,16mm,
Challenger Paddle,Elongated,,Friday,https://amzn.to/4r6C912,$,92.0,Cardinal,red,paddle,16mm,
Challenger Paddle,Elongated,,Friday,https://amzn.to/4aNs0lh,$,92.0,Phoenix,orange,paddle,16mm,
Pickleball,,,CRBN,https://amzn.to/4u7RAsz,$,32.0,Neon,green,ball,,
Trufoam Waves,Hybrid,,CRBN,https://amzn.to/4sr7EUW,$$$,35.0,Black,black,paddle,14mm,
Trufoam Waves,Elongated,,CRBN,https://amzn.to/4aLHJ4b,$$$,35.0,Black,black,paddle,14mm,
Trufoam Waves,Elongated (Long Handle),,CRBN,https://amzn.to/4r3yhhz,$$$,35.0,Black,black,paddle,14mm,
Trufoam Waves,Square,,CRBN,https://amzn.to/4l99KGz,$$$,35.0,Black,black,paddle,14mm,
X Series,Elongated (Long Handle),,CRBN,https://amzn.to/4lfV9cf,$$$,470.0,Black,black,paddle,16mm,
X Series,Elongated (Long Handle),,CRBN,https://amzn.to/3ODga4z,$$$,470.0,Black,black,paddle,14mm,
X Series,Elongated,,CRBN,https://amzn.to/4cv9AHf,$$$,470.0,Black,black,paddle,16mm,
X Series,Elongated,,CRBN,https://amzn.to/4cpujMw,$$$,470.0,Black,black,paddle,14mm,
X Series,Square,,CRBN,https://amzn.to/4cl9dyM,$$$,470.0,Black,black,paddle,16mm,
X Series,Square,,CRBN,https://amzn.to/4cYHRib,$$$,470.0,Black,black,paddle,14mm,
X-40 Pickleball,,,Franklin,https://amzn.to/4bl4BYn,$,24886.0,Yellow,yellow,ball,,checked
X-40 Pickleball,,,Franklin,https://amzn.to/47nJemS,$,24886.0,Ember,red,ball,,
X-40 Pickleball,,,Franklin,https://amzn.to/47nJemS,$,24886.0,Lava,orange,ball,,
X-40 Pickleball,,,Franklin,https://amzn.to/4aOXc3q,$,24886.0,Purple,purple,ball,,
Fever Paddle,Elongated,,Friday,https://amzn.to/4b3zI9y,$,105.0,Glacier,blue,paddle,16mm,
Fever Paddle,Elongated,,Friday,https://amzn.to/4aL6XzI,$,105.0,Scorch,red,paddle,16mm,
Fever Paddle ,Elongated,,Friday,https://amzn.to/4u7t3Uq,$,105.0,Snow,white,paddle,16mm,
Fever Paddle,Elongated,,Friday,https://amzn.to/3N0VtyW,$,105.0,Sunset,orange,paddle,16mm,
Fever Paddle,Elongated,,Friday,https://amzn.to/4b74O0b,$,105.0,Vice,purple,paddle,16mm,
Aero Series,Square,,Holbrook,https://amzn.to/46XhfKT,$$,56.0,Black,black,paddle,16mm,
Aero Series,Square,,Holbrook,https://amzn.to/4b776MP,$$,56.0,Black,black,paddle,14mm,
Aero Series,Elongated,,Holbrook,https://amzn.to/4l6PhlD,$$,56.0,Black,black,paddle,16mm,
Aero Series,Hybrid,,Holbrook,https://amzn.to/4aMxaOn,$$,56.0,Black,black,paddle,14mm,
Aero Series,Hybrid,,Holbrook,https://amzn.to/4rWRfYj,$$,56.0,Black,black,paddle,16mm,
Aero Series Metallic,Elongated,,Holbrook,https://amzn.to/40HscfM,$$,56.0,Black,black,paddle,14mm,
Aero Series Metallic,Elongated,,Holbrook,https://amzn.to/4sfdYP0,$$,56.0,Black,black,paddle,16mm,
Agassi Edge,Elongated,,JOOLA,https://amzn.to/4spPpza,$,358.0,Red,red,paddle,16mm,
Agassi PRO,Elongated,,JOOLA,https://amzn.to/3OTqoO7,$$$,359.0,Red,red,paddle,16mm,
